DEP_NAME,COMMODS,SIZE_VAL,GEOL_PROV,O_STRAT_NM,H_STRAT_NM,LONGITUDE,LATITUDE,SRCE_CNTRE
BORGAS DAM,"Manganese, Zinc",Low Significance,ADELAIDE GEOSYNCLINE,Mernmerna Formation,Mernmerna Formation,138.7297354,-31.6870495,near hole HK 6
MURPHY CLAIM,"Lead, Silver, Gold, Copper, Zinc",Low Significance,ADELAIDE GEOSYNCLINE,quartz vein unit 4,Skillogalee Dolomite,139.0726102,-33.9148875,
BULLOO,"Zinc, Gold",Low Significance,CURNAMONA PROVINCE,Bimba Formation,,140.4180782,-32.0950505,near hole PDH BL-5
KANYAKA,"Copper, Cobalt, Zinc",Low Significance,ADELAIDE GEOSYNCLINE,quartz vein,Parachilna Formation,138.2798915,-32.0737644,open cut
WILLA,"Zinc, Copper, Lead",Low Significance,ADELAIDE GEOSYNCLINE,Wilkawillina Limestone,Wilkawillina Limestone,138.5326975,-31.2621724,
BELTANA NORTH,"Zinc, Barite",Low Significance,ADELAIDE GEOSYNCLINE,breccia unit 2,Wilkawillina Limestone,138.4356345,-30.6697494,pit?
COPPER KING,"Ochre, Copper, Iron, Zinc",Locally Significant,ADELAIDE GEOSYNCLINE,deep weathering,Ajax Limestone,138.4561965,-30.6792844,open cut
HOMESTEAD RIDGE,"Zinc, Silver, Lead",Low Significance,CURNAMONA PROVINCE,Broken Hill Group,Broken Hill Group,140.9252341,-32.4518156,
REAPHOOK,Zinc,Low Significance,ADELAIDE GEOSYNCLINE,Woodendinna Dolomite,Woodendinna Dolomite,139.3034674,-31.3854085,near Reaphook 5A
THE GRAVES,"Zinc, Copper",Low Significance,ADELAIDE GEOSYNCLINE,ferruginisation,Ajax Limestone,138.5885815,-30.7642544,
WITTOWS,Zinc,Low Significance,ADELAIDE GEOSYNCLINE,hydrothermal alteration,Saddleworth Formation,139.0023373,-33.2753265,
SOUTH EASTERN GOSSANS,"Lead, Zinc",Low Significance,ADELAIDE GEOSYNCLINE,gossan,Parachilna Formation,138.1417115,-30.8253564,adit
BACKWATER,"Lead, Zinc",Low Significance,ADELAIDE GEOSYNCLINE,hydrothermal alteration,Wirrapowie Limestone,138.8091224,-31.0410025,near WD 1
TOOLIGIE,"Zinc, Coal, Manganese, Lead",Low Significance,CLEVE SUBDOMAIN (GAWLER CRATON),hydrothermal alteration,Archaean-Palaeoproterozoic rocks,135.6848728,-33.8598584,near hole BLDD01
WINDABOUT,"Copper, Silver, Cobalt, Zinc",Locally Significant,STUART SHELF,Tapley Hill Formation,Whyalla Sandstone,137.1332877,-31.3893564,near hole CW007RD7
ELLA,Zinc,Low Significance,WILGENA SUBDOMAIN (GAWLER CRATON),Tarcoola beds,Tarcoola Formation,134.640264,-30.6450743,near hole ELLARC002
MOUNT ROUGH,"Copper, Zinc",Low Significance,PADTHAWAY RIDGE (DELAMERIAN OROGEN),Delamerian igneous unit 19,,139.8851339,-36.2722285,hole MTR10
BLACK RANGE,Zinc,Low Significance,PADTHAWAY RIDGE (DELAMERIAN OROGEN),skarn,Kanmantoo Group,140.2202989,-36.2771546,near MTR 11
WALLRIDER,Zinc,Low Significance,ADELAIDE GEOSYNCLINE,Wilkawillina Limestone,,138.4271775,-30.6956504,
BIBLIANDO,"Zinc, Lead",Low Significance,ADELAIDE GEOSYNCLINE,quartz vein,Wilyerpa Formation,139.1433343,-31.8349065,near hole MBD 1
